name,rating,price,url
Djibril Sidibé,79,2800,https://www.futbin.com/18/player/761/Sidib%C3%A9
Mauro Icardi,84,2800,https://www.futbin.com/18/player/247/Icardi
Memphis Depay,80,2800,https://www.futbin.com/18/player/624/Depay
José Izquierdo,78,2800,https://www.futbin.com/18/player/1024/Izquierdo
Jérémy Mathieu,80,2800,https://www.futbin.com/18/player/529/Mathieu
Kevin Vogt,80,2800,https://www.futbin.com/18/player/603/Vogt
José María Callejón Bueno,83,2800,https://www.futbin.com/18/player/288/Jos%C3%A9%20Callej%C3%B3n
Niklas Süle,83,2800,https://www.futbin.com/18/player/318/S%C3%BCle
João Filipe Moutinho,82,2800,https://www.futbin.com/18/player/338/Jo%C3%A3o%20Moutinho
Frederico R. de Paula Santos,80,2700,https://www.futbin.com/18/player/639/Fred
Riyad Mahrez,83,2700,https://www.futbin.com/18/player/309/Mahrez
Victor Wanyama,82,2700,https://www.futbin.com/18/player/375/Wanyama
Ralf Fährmann,84,2700,https://www.futbin.com/18/player/231/F%C3%A4hrmann
Michael Keane,81,2700,https://www.futbin.com/18/player/502/Keane
Davide Zappacosta,79,2700,https://www.futbin.com/18/player/816/Zappacosta
Roberto Pereyra,80,2600,https://www.futbin.com/18/player/604/Pereyra
Manuel H. Tavares Fernandes,80,2600,https://www.futbin.com/18/player/541/Manuel%20Fernandes
Mariano Ferreira Filho,79,2600,https://www.futbin.com/18/player/713/Mariano
Cédric Bakambu,81,2500,https://www.futbin.com/18/player/488/Bakambu
Javier Pastore,83,2500,https://www.futbin.com/18/player/296/Pastore
Joel Matip,83,2500,https://www.futbin.com/18/player/301/Matip
Edin Džeko,84,2500,https://www.futbin.com/18/player/234/D%C5%BEeko
José Sosa,78,2500,https://www.futbin.com/18/player/1048/Sosa
Joshua Kimmich,81,2500,https://www.futbin.com/18/player/509/Kimmich
Wylan Cyprien,79,2400,https://www.futbin.com/18/player/808/Cyprien
Felipe Pardo,75,2400,https://www.futbin.com/18/player/1978/Pardo
Radamel Falcao García Zarate,84,2400,https://www.futbin.com/18/player/226/Falcao
Jack Butland,81,2400,https://www.futbin.com/18/player/498/Butland
